# Frequency, Fit
3.80769e+01, 1.00976e-02
3.81538e+01, 1.29942e-02
3.82308e+01, 3.58516e-03
3.83077e+01, 7.79664e-03
3.83846e+01, 1.52055e-02
3.84615e+01, 1.42605e-02
3.85385e+01, 4.12900e-03
3.86154e+01, 1.48611e-02
3.86923e+01, 5.47153e-03
3.87692e+01, 6.95336e-04
3.88462e+01, 5.55937e-03
3.89231e+01, 1.13749e-02
3.90000e+01, 4.75239e-03
3.90769e+01, 2.55835e-03
3.91538e+01, 4.48121e-03
3.92308e+01, 1.21683e-02
3.93077e+01, 1.06563e-02
3.93846e+01, 1.85355e-02
3.94615e+01, 6.60168e-03
3.95385e+01, 1.11688e-02
3.96154e+01, 8.13442e-03
3.96923e+01, 6.81664e-03
3.97692e+01, 1.06886e-02
3.98462e+01, 1.95477e-02
3.99231e+01, 1.92277e-02
4.00000e+01, 1.32067e-02
4.00769e+01, 8.79451e-03
4.01538e+01, 6.90197e-03
4.02308e+01, 1.12948e-03
4.03077e+01, 7.41740e-03
4.03846e+01, 1.79212e-02
4.04615e+01, 1.11562e-02
4.05385e+01, 1.16081e-02
4.06154e+01, 7.92417e-03
4.06923e+01, 6.93775e-03
4.07692e+01, 7.44709e-03
4.08462e+01, 6.62787e-03
4.09231e+01, 9.47871e-03
4.10000e+01, 3.09713e-03
4.10769e+01, 1.77315e-02
4.11538e+01, 1.66707e-02
4.12308e+01, 3.22081e-03
4.13077e+01, 5.74530e-03
4.13846e+01, 3.41346e-03
4.14615e+01, 3.64838e-03
4.15385e+01, 1.25657e-02
4.16154e+01, 1.41011e-02
4.16923e+01, 3.25033e-03
4.17692e+01, 5.86898e-03
4.18462e+01, 2.47308e-02
4.19231e+01, 3.17553e-03
4.20000e+01, 1.03095e-02
4.20769e+01, 2.13861e-02
4.21538e+01, 1.13406e-02
4.22308e+01, 1.28811e-02
4.23077e+01, 8.64482e-03
4.23846e+01, 4.45891e-03
4.24615e+01, 4.36120e-03
4.25385e+01, 1.40061e-02
4.26154e+01, 6.16203e-03
4.26923e+01, 1.38255e-02
4.27692e+01, 8.93338e-03
4.28462e+01, 6.06736e-03
4.29231e+01, 6.28553e-03
4.30000e+01, 1.16533e-02
4.30769e+01, 3.81668e-03
4.31538e+01, 1.27686e-02
4.32308e+01, 6.30259e-03
4.33077e+01, 1.30409e-02
4.33846e+01, 1.93856e-03
4.34615e+01, 6.18829e-03
4.35385e+01, 2.71304e-03
4.36154e+01, 5.22152e-03
4.36923e+01, 2.06040e-02
4.37692e+01, 1.09124e-02
4.38462e+01, 7.35269e-03
4.39231e+01, 6.75269e-03
4.40000e+01, 8.96240e-03
4.40769e+01, 2.74539e-03
4.41538e+01, 2.03218e-03
4.42308e+01, 6.31642e-03
4.43077e+01, 3.91414e-03
4.43846e+01, 4.49945e-03
4.44615e+01, 7.74397e-04
4.45385e+01, 1.39271e-02
4.46154e+01, 1.33115e-02
4.46923e+01, 5.64653e-03
4.47692e+01, 1.00439e-02
4.48462e+01, 8.40574e-03
4.49231e+01, 8.53241e-03
4.50000e+01, 2.61564e-03
4.50769e+01, 1.55152e-02
4.51538e+01, 1.39692e-02
4.52308e+01, 1.69754e-02
4.53077e+01, 1.31294e-02
4.53846e+01, 4.44122e-03
4.54615e+01, 2.18106e-03
4.55385e+01, 2.40030e-03
4.56154e+01, 5.48756e-03
4.56923e+01, 1.09402e-02
4.57692e+01, 1.29482e-02
4.58462e+01, 1.88320e-03
4.59231e+01, 6.13309e-03
4.60000e+01, 7.08009e-03
4.60769e+01, 6.73776e-03
4.61538e+01, 1.72768e-02
4.62308e+01, 5.41577e-03
4.63077e+01, 9.29285e-03
4.63846e+01, 1.18333e-02
4.64615e+01, 3.93144e-03
4.65385e+01, 9.63262e-03
4.66154e+01, 8.44029e-03
4.66923e+01, 1.34725e-02
4.67692e+01, 1.69467e-02
4.68462e+01, 2.69142e-02
4.69231e+01, 1.69509e-02
4.70000e+01, 1.01103e-02
4.70769e+01, 1.35329e-02
4.71538e+01, 1.50145e-02
4.72308e+01, 7.33115e-03
4.73077e+01, 6.84329e-03
4.73846e+01, 1.46188e-02
4.74615e+01, 5.56294e-03
4.75385e+01, 8.38501e-03
4.76154e+01, 2.21538e-02
4.76923e+01, 4.98328e-03
4.77692e+01, 1.33212e-02
4.78462e+01, 3.55378e-03
4.79231e+01, 9.08746e-03
4.80000e+01, 2.03516e-02
4.80769e+01, 8.27705e-03
4.81538e+01, 7.78554e-03
4.82308e+01, 5.81207e-03
4.83077e+01, 1.01297e-02
4.83846e+01, 1.84591e-02
4.84615e+01, 1.59260e-02
4.85385e+01, 2.49701e-02
4.86154e+01, 2.50015e-02
4.86923e+01, 1.69324e-02
4.87692e+01, 4.55991e-03
4.88462e+01, 1.76815e-02
4.89231e+01, 2.12048e-02
4.90000e+01, 9.53378e-03
4.90769e+01, 1.59063e-02
4.91538e+01, 1.23846e-02
4.92308e+01, 3.61176e-03
4.93077e+01, 4.64001e-03
4.93846e+01, 1.03750e-02
4.94615e+01, 1.42969e-02
4.95385e+01, 1.11397e-02
4.96154e+01, 2.00823e-02
4.96923e+01, 4.03581e-03
4.97692e+01, 1.34665e-02
4.98462e+01, 9.37849e-03
4.99231e+01, 2.07335e-02
5.00000e+01, 7.36826e-02
5.00769e+01, 4.21880e-03
5.01538e+01, 1.78239e-02
5.02308e+01, 1.16779e-02
5.03077e+01, 8.10368e-03
5.03846e+01, 1.33644e-02
5.04615e+01, 1.73292e-02
5.05385e+01, 3.80400e-03
5.06154e+01, 9.21546e-03
5.06923e+01, 5.66893e-03
5.07692e+01, 1.03575e-02
5.08462e+01, 7.31855e-03
5.09231e+01, 1.31846e-02
5.10000e+01, 6.19349e-03
5.10769e+01, 6.65747e-03
5.11538e+01, 1.16798e-02
5.12308e+01, 4.83434e-03
5.13077e+01, 8.00832e-03
5.13846e+01, 1.49404e-02
5.14615e+01, 1.88661e-02
5.15385e+01, 1.14421e-02
5.16154e+01, 1.38843e-02
5.16923e+01, 8.37761e-03
5.17692e+01, 1.24820e-02
5.18462e+01, 5.32166e-03
5.19231e+01, 1.04495e-02
5.20000e+01, 6.92926e-03
5.20769e+01, 1.02827e-02
5.21538e+01, 2.01280e-02
5.22308e+01, 1.06751e-02
5.23077e+01, 7.64961e-04
5.23846e+01, 7.35211e-03
5.24615e+01, 1.03629e-02
5.25385e+01, 1.36927e-02
5.26154e+01, 3.75500e-03
5.26923e+01, 1.68522e-02
5.27692e+01, 4.52904e-03
5.28462e+01, 1.08797e-02
5.29231e+01, 4.49028e-03
5.30000e+01, 5.45889e-03
5.30769e+01, 6.26313e-03
5.31538e+01, 1.11790e-02
5.32308e+01, 6.79469e-03
5.33077e+01, 5.17544e-03
5.33846e+01, 7.65380e-03
5.34615e+01, 1.59700e-02
5.35385e+01, 1.25761e-02
5.36154e+01, 8.15034e-03
5.36923e+01, 1.04907e-03
5.37692e+01, 1.41901e-03
5.38462e+01, 7.72727e-03
5.39231e+01, 1.00822e-02
5.40000e+01, 6.58798e-03
5.40769e+01, 8.76606e-03
5.41538e+01, 9.09081e-03
5.42308e+01, 7.69983e-03
5.43077e+01, 1.33677e-02
5.43846e+01, 4.82661e-04
5.44615e+01, 7.99569e-04
5.45385e+01, 4.80264e-03
5.46154e+01, 6.40548e-03
5.46923e+01, 4.79362e-03
5.47692e+01, 1.00067e-02
5.48462e+01, 1.25519e-02
5.49231e+01, 3.84482e-03
5.50000e+01, 8.21241e-03
5.50769e+01, 1.24023e-02
5.51538e+01, 1.04697e-02
5.52308e+01, 1.50168e-02
5.53077e+01, 5.32038e-03
5.53846e+01, 1.88825e-02
5.54615e+01, 9.28905e-03
5.55385e+01, 1.22447e-02
5.56154e+01, 2.23684e-02
5.56923e+01, 1.11048e-02
5.57692e+01, 1.32922e-02
5.58462e+01, 6.41632e-03
5.59231e+01, 6.07077e-03
5.60000e+01, 1.52819e-02
5.60769e+01, 1.75084e-02
5.61538e+01, 2.94518e-02
5.62308e+01, 8.86618e-03
5.63077e+01, 1.15737e-02
5.63846e+01, 4.99457e-03
5.64615e+01, 3.37517e-03
5.65385e+01, 1.01228e-02
5.66154e+01, 2.77537e-03
5.66923e+01, 4.08292e-03
5.67692e+01, 5.89629e-03
5.68462e+01, 1.77823e-03
5.69231e+01, 4.36646e-03
5.70000e+01, 1.16111e-02
5.70769e+01, 2.51814e-03
5.71538e+01, 7.32964e-03
5.72308e+01, 2.00554e-03
5.73077e+01, 1.34648e-02
5.73846e+01, 6.84431e-03
5.74615e+01, 4.03505e-03
5.75385e+01, 4.49806e-03
5.76154e+01, 3.29116e-03
5.76923e+01, 5.87195e-03
5.77692e+01, 1.02461e-02
5.78462e+01, 2.31835e-03
5.79231e+01, 8.55964e-03
5.80000e+01, 1.96580e-03
5.80769e+01, 1.20247e-03
5.81538e+01, 6.48693e-03
5.82308e+01, 1.35738e-03
5.83077e+01, 3.03770e-03
5.83846e+01, 9.12668e-03
5.84615e+01, 1.19893e-02
5.85385e+01, 8.25316e-03
5.86154e+01, 8.33817e-03
5.86923e+01, 3.46341e-03
5.87692e+01, 9.26509e-03
5.88462e+01, 9.38448e-03
5.89231e+01, 4.92349e-03
5.90000e+01, 1.36686e-03
5.90769e+01, 4.75253e-03
5.91538e+01, 2.95242e-03
5.92308e+01, 8.77157e-03
5.93077e+01, 8.45128e-03
5.93846e+01, 2.94687e-03
5.94615e+01, 2.76208e-03
5.95385e+01, 8.24162e-03
5.96154e+01, 3.92780e-03
5.96923e+01, 4.24300e-04
5.97692e+01, 1.22822e-02
5.98462e+01, 1.35778e-02
5.99231e+01, 5.62362e-03
6.00000e+01, 8.40422e-03
6.00769e+01, 3.49451e-03
6.01538e+01, 9.54344e-03
6.02308e+01, 2.78090e-02
6.03077e+01, 1.47883e-02
6.03846e+01, 2.01204e-03
6.04615e+01, 1.07294e-02
6.05385e+01, 3.41488e-03
6.06154e+01, 7.32666e-03
6.06923e+01, 4.95593e-03
6.07692e+01, 5.64723e-03
6.08462e+01, 8.37018e-03
6.09231e+01, 1.64727e-02
6.10000e+01, 4.80564e-03
6.10769e+01, 9.54365e-03
6.11538e+01, 4.35954e-03
6.12308e+01, 4.81297e-03
6.13077e+01, 1.96913e-03
6.13846e+01, 6.89223e-03
6.14615e+01, 1.80825e-03
6.15385e+01, 5.04943e-03
6.16154e+01, 5.41367e-03
6.16923e+01, 5.50732e-03
6.17692e+01, 3.40787e-03
6.18462e+01, 4.26859e-03
6.19231e+01, 7.81508e-03
6.20000e+01, 2.39707e-03
6.20769e+01, 9.27443e-03
6.21538e+01, 1.28530e-02
6.22308e+01, 3.63567e-03
6.23077e+01, 9.80343e-03
6.23846e+01, 9.21157e-03
6.24615e+01, 1.06948e-02
6.25385e+01, 9.25116e-03
6.26154e+01, 9.08777e-03
6.26923e+01, 4.76059e-03
6.27692e+01, 3.97056e-03
6.28462e+01, 1.09625e-02
6.29231e+01, 5.25524e-03
6.30000e+01, 4.78783e-03
6.30769e+01, 4.16696e-03
6.31538e+01, 3.94174e-03
