# Frequency, Fit
2.93077e+01, 3.07493e-02
2.93846e+01, 3.05830e-02
2.94615e+01, 3.04177e-02
2.95385e+01, 3.02532e-02
2.96154e+01, 3.00896e-02
2.96923e+01, 2.99269e-02
2.97692e+01, 2.97650e-02
2.98462e+01, 2.96040e-02
2.99231e+01, 2.94439e-02
3.00000e+01, 2.92846e-02
3.00769e+01, 2.91262e-02
3.01538e+01, 2.89686e-02
3.02308e+01, 2.88119e-02
3.03077e+01, 2.86560e-02
3.03846e+01, 2.85010e-02
3.04615e+01, 2.83468e-02
3.05385e+01, 2.81934e-02
3.06154e+01, 2.80408e-02
3.06923e+01, 2.78891e-02
3.07692e+01, 2.77381e-02
3.08462e+01, 2.75880e-02
3.09231e+01, 2.74387e-02
3.10000e+01, 2.72902e-02
3.10769e+01, 2.71424e-02
3.11538e+01, 2.69955e-02
3.12308e+01, 2.68494e-02
3.13077e+01, 2.67040e-02
3.13846e+01, 2.65594e-02
3.14615e+01, 2.64156e-02
3.15385e+01, 2.62726e-02
3.16154e+01, 2.61304e-02
3.16923e+01, 2.59889e-02
3.17692e+01, 2.58481e-02
3.18462e+01, 2.57082e-02
3.19231e+01, 2.55689e-02
3.20000e+01, 2.54305e-02
3.20769e+01, 2.52927e-02
3.21538e+01, 2.51557e-02
3.22308e+01, 2.50195e-02
3.23077e+01, 2.48839e-02
3.23846e+01, 2.47491e-02
3.24615e+01, 2.46151e-02
3.25385e+01, 2.44817e-02
3.26154e+01, 2.43491e-02
3.26923e+01, 2.42172e-02
3.27692e+01, 2.40860e-02
3.28462e+01, 2.39555e-02
3.29231e+01, 2.38257e-02
3.30000e+01, 2.36966e-02
3.30769e+01, 2.35682e-02
3.31538e+01, 2.34404e-02
3.32308e+01, 2.33134e-02
3.33077e+01, 2.31871e-02
3.33846e+01, 2.30614e-02
3.34615e+01, 2.29364e-02
3.35385e+01, 2.28121e-02
3.36154e+01, 2.26885e-02
3.36923e+01, 2.25655e-02
3.37692e+01, 2.24432e-02
3.38462e+01, 2.23215e-02
3.39231e+01, 2.22005e-02
3.40000e+01, 2.20801e-02
3.40769e+01, 2.19604e-02
3.41538e+01, 2.18414e-02
3.42308e+01, 2.17230e-02
3.43077e+01, 2.16052e-02
3.43846e+01, 2.14881e-02
3.44615e+01, 2.13715e-02
3.45385e+01, 2.12557e-02
3.46154e+01, 2.11404e-02
3.46923e+01, 2.10258e-02
3.47692e+01, 2.09117e-02
3.48462e+01, 2.07983e-02
3.49231e+01, 2.06856e-02
3.50000e+01, 2.05734e-02
3.50769e+01, 2.04618e-02
3.51538e+01, 2.03508e-02
3.52308e+01, 2.02404e-02
3.53077e+01, 2.01307e-02
3.53846e+01, 2.00215e-02
3.54615e+01, 1.99129e-02
3.55385e+01, 1.98049e-02
3.56154e+01, 1.96974e-02
3.56923e+01, 1.95906e-02
3.57692e+01, 1.94843e-02
3.58462e+01, 1.93786e-02
3.59231e+01, 1.92735e-02
3.60000e+01, 1.91689e-02
3.60769e+01, 1.90649e-02
3.61538e+01, 1.89615e-02
3.62308e+01, 1.88586e-02
3.63077e+01, 1.87563e-02
3.63846e+01, 1.86545e-02
3.64615e+01, 1.85533e-02
3.65385e+01, 1.84526e-02
3.66154e+01, 1.83525e-02
3.66923e+01, 1.82529e-02
3.67692e+01, 1.81538e-02
3.68462e+01, 1.80553e-02
3.69231e+01, 1.79574e-02
3.70000e+01, 1.78599e-02
3.70769e+01, 1.77630e-02
3.71538e+01, 1.76666e-02
3.72308e+01, 1.75707e-02
3.73077e+01, 1.74753e-02
3.73846e+01, 1.73805e-02
3.74615e+01, 1.72861e-02
3.75385e+01, 1.71923e-02
3.76154e+01, 1.70990e-02
3.76923e+01, 1.70062e-02
3.77692e+01, 1.69139e-02
3.78462e+01, 1.68221e-02
3.79231e+01, 1.67307e-02
3.80000e+01, 1.66399e-02
3.80769e+01, 1.65496e-02
3.81538e+01, 1.64597e-02
3.82308e+01, 1.63704e-02
3.83077e+01, 1.62815e-02
3.83846e+01, 1.61931e-02
3.84615e+01, 1.61052e-02
3.85385e+01, 1.60178e-02
3.86154e+01, 1.59308e-02
3.86923e+01, 1.58443e-02
3.87692e+01, 1.57583e-02
3.88462e+01, 1.56727e-02
3.89231e+01, 1.55876e-02
3.90000e+01, 1.55030e-02
3.90769e+01, 1.54188e-02
3.91538e+01, 1.53351e-02
3.92308e+01, 1.52518e-02
3.93077e+01, 1.51690e-02
3.93846e+01, 1.50866e-02
3.94615e+01, 1.50047e-02
3.95385e+01, 1.49232e-02
3.96154e+01, 1.48422e-02
3.96923e+01, 1.47615e-02
3.97692e+01, 1.46814e-02
3.98462e+01, 1.46016e-02
3.99231e+01, 1.45223e-02
4.00000e+01, 1.44435e-02
4.00769e+01, 1.43650e-02
4.01538e+01, 1.42870e-02
4.02308e+01, 1.42094e-02
4.03077e+01, 1.41322e-02
4.03846e+01, 1.40555e-02
4.04615e+01, 1.39791e-02
4.05385e+01, 1.39032e-02
4.06154e+01, 1.38277e-02
4.06923e+01, 1.37526e-02
4.07692e+01, 1.36779e-02
4.08462e+01, 1.36036e-02
4.09231e+01, 1.35297e-02
4.10000e+01, 1.34562e-02
4.10769e+01, 1.33831e-02
4.11538e+01, 1.33104e-02
